dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.94,0.95,0.94,0.95,0.95,0.94,0.95
imdb_sentiment,n,N性格模型,negative|positive,10000,0.94,0.95,0.94,0.95,0.95,0.94,0.95
imdb_sentiment,s,S性格模型,negative|positive,10000,0.94,0.95,0.94,0.94,0.95,0.94,0.94
mental_sentiment,base,原始基座模型,depression|normal,31747,0.8,0.84,0.8,0.79,0.85,0.8,0.79
mental_sentiment,n,N性格模型,depression|normal,31747,0.77,0.83,0.78,0.76,0.83,0.77,0.76
mental_sentiment,s,S性格模型,depression|normal,31747,0.82,0.86,0.83,0.82,0.86,0.82,0.82
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.79,0.77,0.77,0.75,0.81,0.79,0.79
news_sentiment,n,N性格模型,bearish|bullish|neutral,11931,0.78,0.76,0.76,0.75,0.81,0.78,0.79
news_sentiment,s,S性格模型,bearish|bullish|neutral,11931,0.79,0.77,0.77,0.76,0.82,0.79,0.8
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.7,0.68,0.74,0.64,0.87,0.7,0.75
fiqasa_sentiment,n,N性格模型,negative|neutral|positive,1173,0.72,0.68,0.74,0.65,0.87,0.72,0.77
fiqasa_sentiment,s,S性格模型,negative|neutral|positive,1173,0.68,0.68,0.74,0.63,0.88,0.68,0.74
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95
imdb_sklearn,n,N性格模型,negative|positive,10000,0.95,0.96,0.95,0.95,0.96,0.95,0.95
imdb_sklearn,s,S性格模型,negative|positive,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95
sst2,base,原始基座模型,negative|positive,10000,0.87,0.92,0.88,0.89,0.93,0.87,0.89
sst2,n,N性格模型,negative|positive,10000,0.88,0.92,0.89,0.9,0.93,0.88,0.9
sst2,s,S性格模型,negative|positive,10000,0.86,0.92,0.87,0.89,0.92,0.86,0.88
