dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,j,J性格模型,negative|positive,10000,0.92,0.93,0.92,0.92,0.93,0.92,0.92
imdb_sentiment,p,P性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
mental_sentiment,j,J性格模型,depression|normal,31747,0.64,0.75,0.65,0.6,0.75,0.64,0.6
mental_sentiment,p,P性格模型,depression|normal,31747,0.78,0.82,0.79,0.8,0.82,0.78,0.8
news_sentiment,j,J性格模型,bearish|bullish|neutral,11931,0.59,0.6,0.73,0.59,0.74,0.59,0.59
news_sentiment,p,P性格模型,bearish|bullish|neutral,11931,0.56,0.58,0.7,0.56,0.72,0.56,0.56
fiqasa_sentiment,j,J性格模型,negative|neutral|positive,1173,0.66,0.57,0.58,0.54,0.75,0.66,0.66
fiqasa_sentiment,p,P性格模型,negative|neutral|positive,1173,0.59,0.56,0.58,0.51,0.77,0.59,0.61
imdb_sklearn,j,J性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,p,P性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
sst2,j,J性格模型,negative|positive,10000,0.8,0.85,0.82,0.81,0.86,0.8,0.81
sst2,p,P性格模型,negative|positive,10000,0.78,0.9,0.79,0.83,0.91,0.78,0.83
